LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
27m         Normal    Pulling                pod/frontend-75c8585d46-f4v4c                    Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/frontend:sha-fa6cb8f"
27m         Normal    TaintManagerEviction   pod/frontend-75c8585d46-f4v4c                    Cancelling deletion of Pod techx-corp-prod/frontend-75c8585d46-f4v4c
27m         Normal    Pulled                 pod/checkout-5f59884d8-c2dbn                     Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f" in 1.536s (1.536s including waiting). Image size: 9514321 bytes.
27m         Normal    Created                pod/checkout-5f59884d8-c2dbn                     Container created
27m         Normal    Started                pod/checkout-5f59884d8-c2dbn                     Container started
27m         Normal    Pulled                 pod/checkout-5f59884d8-2wqb9                     Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f" in 7.955s (7.955s including waiting). Image size: 9514321 bytes.
27m         Normal    Started                pod/checkout-5f59884d8-2wqb9                     Container started
27m         Normal    Created                pod/checkout-5f59884d8-2wqb9                     Container created
27m         Normal    Pulling                pod/cart-6cbfb749cf-ncznm                        Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f"
27m         Normal    Pulled                 pod/otel-collector-agent-qwlh9                   Successfully pulled image "otel/opentelemetry-collector-contrib:0.151.0" in 9.531s (9.531s including waiting). Image size: 88803327 bytes.
27m         Normal    Created                pod/otel-collector-agent-qwlh9                   Container created
27m         Normal    Started                pod/otel-collector-agent-qwlh9                   Container started
27m         Normal    Pulled                 pod/cart-6cbfb749cf-ncznm                        Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" in 3.171s (3.171s including waiting). Image size: 50820594 bytes.
27m         Normal    Created                pod/otel-collector-agent-mxjcv                   Container created
27m         Normal    Pulled                 pod/otel-collector-agent-mxjcv                   Successfully pulled image "otel/opentelemetry-collector-contrib:0.151.0" in 6.344s (6.344s including waiting). Image size: 88803327 bytes.
27m         Normal    Started                pod/otel-collector-agent-mxjcv                   Container started
27m         Normal    Started                pod/cart-6cbfb749cf-ncznm                        Container started
27m         Normal    Created                pod/cart-6cbfb749cf-ncznm                        Container created
27m         Normal    Created                pod/frontend-75c8585d46-f4v4c                    Container created
27m         Normal    Started                pod/frontend-75c8585d46-f4v4c                    Container started
27m         Normal    Pulled                 pod/frontend-75c8585d46-f4v4c                    Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/frontend:sha-fa6cb8f" in 11.704s (11.704s including waiting). Image size: 213499853 bytes.
27m         Normal    Started                pod/frontend-75c8585d46-f4jh8                    Container started
27m         Normal    Created                pod/frontend-75c8585d46-f4jh8                    Container created
27m         Warning   Unhealthy              pod/cart-6cbfb749cf-ncznm                        Liveness probe failed: dial tcp 10.0.26.164:8080: connect: connection refused
27m         Warning   Unhealthy              pod/frontend-75c8585d46-f4v4c                    Readiness probe failed: Get "http://10.0.22.67:8080/": dial tcp 10.0.22.67:8080: connect: connection refused
27m         Normal    Pulled                 pod/frontend-75c8585d46-f4jh8                    Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/frontend:sha-fa6cb8f" in 15.872s (15.872s including waiting). Image size: 213499853 bytes.
27m         Warning   Unhealthy              pod/cart-6cbfb749cf-ncznm                        Readiness probe failed: timeout: health rpc did not complete within 3s
