LAST SEEN   TYPE      REASON                 OBJECT                                           MESSAGE
17m         Normal    Pulling                pod/accounting-69d676466f-6jtpf                  Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/accounting:sha-fa6cb8f"
17m         Normal    Pulling                pod/cart-6cbfb749cf-zghqz                        Pulling image "busybox:1.37.0"
17m         Normal    Pulling                pod/product-reviews-58686f5fd9-qs6jg             Pulling image "public.ecr.aws/aws-cli/aws-cli:2.27.49"
17m         Normal    Pulled                 pod/cart-6cbfb749cf-zghqz                        Successfully pulled image "busybox:1.37.0" in 149ms (149ms including waiting). Image size: 1911349 bytes.
17m         Normal    Pulling                pod/email-746cdfc565-59xwn                       Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/email:sha-fa6cb8f"
17m         Normal    Pulling                pod/shipping-567ccf6f47-jpz6z                    Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/shipping:sha-fa6cb8f"
17m         Normal    Created                pod/cart-6cbfb749cf-zghqz                        Container created
17m         Normal    Pulling                pod/currency-54d784bd7b-mjrtn                    Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/currency:sha-fa6cb8f"
17m         Normal    Pulling                pod/checkout-5f59884d8-ltz7v                     Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f"
17m         Normal    Pulling                pod/frontend-75c8585d46-k6927                    Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/frontend:sha-fa6cb8f"
17m         Normal    Started                pod/cart-6cbfb749cf-zghqz                        Container started
17m         Normal    Pulled                 pod/cart-6cbfb749cf-zghqz                        Container image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" already present on machine and can be accessed by the pod
17m         Normal    Created                pod/cart-6cbfb749cf-zghqz                        Container created
17m         Normal    Started                pod/checkout-5f59884d8-ltz7v                     Container started
17m         Normal    Created                pod/checkout-5f59884d8-ltz7v                     Container created
17m         Normal    Pulled                 pod/checkout-5f59884d8-ltz7v                     Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/checkout:sha-fa6cb8f" in 1.717s (1.717s including waiting). Image size: 9514321 bytes.
17m         Normal    Started                pod/cart-6cbfb749cf-zghqz                        Container started
17m         Normal    Created                pod/accounting-69d676466f-6jtpf                  Container created
17m         Normal    Pulled                 pod/accounting-69d676466f-6jtpf                  Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/accounting:sha-fa6cb8f" in 3.386s (3.386s including waiting). Image size: 101851664 bytes.
17m         Normal    Started                pod/accounting-69d676466f-6jtpf                  Container started
17m         Warning   Unhealthy              pod/cart-6cbfb749cf-zghqz                        Readiness probe failed: timeout: failed to connect service "10.0.35.84:8080" within 3s: context deadline exceeded
17m         Normal    Started                pod/product-reviews-58686f5fd9-qs6jg             Container started
17m         Normal    Pulled                 pod/product-reviews-58686f5fd9-qs6jg             Successfully pulled image "public.ecr.aws/aws-cli/aws-cli:2.27.49" in 5.339s (5.339s including waiting). Image size: 130951142 bytes.
17m         Normal    Created                pod/product-reviews-58686f5fd9-qs6jg             Container created
17m         Normal    Pulled                 pod/shipping-567ccf6f47-jpz6z                    Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/shipping:sha-fa6cb8f" in 7.28s (7.28s including waiting). Image size: 15385507 bytes.
17m         Warning   Unhealthy              pod/shipping-567ccf6f47-jpz6z                    Readiness probe failed: dial tcp 10.0.37.240:8080: connect: connection refused
17m         Normal    Started                pod/shipping-567ccf6f47-jpz6z                    Container started
17m         Normal    Created                pod/shipping-567ccf6f47-jpz6z                    Container created
17m         Warning   Unhealthy              pod/cart-6cbfb749cf-zghqz                        Readiness probe failed: timeout: health rpc did not complete within 3s
17m         Normal    Pulled                 pod/currency-54d784bd7b-mjrtn                    Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/currency:sha-fa6cb8f" in 9.871s (9.871s including waiting). Image size: 30389101 bytes.
17m         Normal    Created                pod/currency-54d784bd7b-mjrtn                    Container created
17m         Normal    Created                pod/email-746cdfc565-59xwn                       Container created
17m         Normal    Started                pod/currency-54d784bd7b-mjrtn                    Container started
17m         Normal    Pulled                 pod/email-746cdfc565-59xwn                       Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/email:sha-fa6cb8f" in 11.025s (11.025s including waiting). Image size: 92375734 bytes.
17m         Normal    Started                pod/ad-7998665c4b-g5hc8                          Container started
17m         Normal    Pulled                 pod/ad-7998665c4b-g5hc8                          Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/ad:sha-fa6cb8f" in 11.621s (11.621s including waiting). Image size: 180887788 bytes.
17m         Normal    Created                pod/ad-7998665c4b-g5hc8                          Container created
17m         Warning   Unhealthy              pod/currency-54d784bd7b-s94g8                    Readiness probe failed: timeout: failed to connect service "10.0.45.6:8080" within 2s: context deadline exceeded
17m         Warning   Unhealthy              pod/cart-6cbfb749cf-ft5cb                        Readiness probe failed: timeout: failed to connect service "10.0.45.13:8080" within 3s: context deadline exceeded
17m         Normal    Started                pod/email-746cdfc565-59xwn                       Container started
17m         Warning   Unhealthy              pod/email-746cdfc565-59xwn                       Readiness probe failed: dial tcp 10.0.37.64:8080: connect: connection refused
17m         Warning   Unhealthy              pod/email-746cdfc565-59xwn                       Liveness probe failed: dial tcp 10.0.37.64:8080: connect: connection refused
17m         Normal    Pulled                 pod/frontend-75c8585d46-k6927                    Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/frontend:sha-fa6cb8f" in 14.69s (14.69s including waiting). Image size: 213499853 bytes.
17m         Normal    Created                pod/frontend-75c8585d46-k6927                    Container created
17m         Normal    Started                pod/frontend-75c8585d46-k6927                    Container started
17m         Warning   Unhealthy              pod/frontend-75c8585d46-k6927                    Readiness probe failed: Get "http://10.0.37.246:8080/": dial tcp 10.0.37.246:8080: connect: connection refused
16m         Normal    Killing                pod/otel-collector-agent-246dl                   Stopping container opentelemetry-collector
16m         Normal    Evicted                pod/otel-collector-agent-246dl                   Evicted pod: Underutilized
16m         Normal    Created                pod/product-reviews-58686f5fd9-qs6jg             Container created
16m         Normal    Pulled                 pod/product-reviews-58686f5fd9-qs6jg             Container image "busybox:1.37.0" already present on machine and can be accessed by the pod
16m         Normal    Started                pod/product-reviews-58686f5fd9-qs6jg             Container started
16m         Warning   Unhealthy              pod/ad-7998665c4b-g5hc8                          Liveness probe failed: timeout: failed to connect service "10.0.37.244:8080" within 5s: context deadline exceeded
16m         Warning   Unhealthy              pod/ad-7998665c4b-g5hc8                          Readiness probe failed: timeout: failed to connect service "10.0.37.244:8080" within 5s: context deadline exceeded
16m         Warning   FailedScheduling       pod/cart-6cbfb749cf-lprsl                        0/10 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/10 nodes are available: 3 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
16m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        0/10 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/10 nodes are available: 3 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
16m         Warning   FailedScheduling       pod/cart-6cbfb749cf-7xl4m                        0/10 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/10 nodes are available: 3 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
16m         Normal    SuccessfulRescale      horizontalpodautoscaler/cart                     New size: 9; reason: cpu resource utilization (percentage of request) above target
16m         Normal    Nominated              pod/cart-6cbfb749cf-lprsl                        Pod should schedule on: nodeclaim/stateless-on-demand-kxxrf
16m         Normal    Nominated              pod/cart-6cbfb749cf-7xl4m                        Pod should schedule on: nodeclaim/stateless-spot-zrfm5
16m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        Failed to schedule pod, all available instance types exceed limits for nodepool (NodePool=stateless-spot); all available instance types exceed limits for nodepool (NodePool=stateless-on-demand)
16m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-6pg6k                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
16m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-7xl4m                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
16m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-lprsl                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
16m         Normal    Nominated              pod/cart-6cbfb749cf-6pg6k                        Pod should schedule on: nodeclaim/stateless-spot-tj66x
16m         Warning   FailedScheduling       pod/cart-6cbfb749cf-lprsl                        0/11 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/11 nodes are available: 4 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
16m         Warning   FailedScheduling       pod/cart-6cbfb749cf-7xl4m                        0/11 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/11 nodes are available: 4 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
16m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        0/11 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/11 nodes are available: 4 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        0/12 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/12 nodes are available: 5 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-7xl4m                        0/12 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/12 nodes are available: 5 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-lprsl                        0/12 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/12 nodes are available: 5 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-dwcvr                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
15m         Normal    Nominated              pod/cart-6cbfb749cf-npfkp                        Pod should schedule on: nodeclaim/stateless-on-demand-kxxrf, node/ip-10-0-34-8.ec2.internal
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-mfk44                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 6 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-mfk44                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
15m         Normal    NotTriggerScaleUp      pod/cart-6cbfb749cf-npfkp                        pod didn't trigger scale-up: 2 node(s) didn't match Pod's node affinity/selector
15m         Normal    Nominated              pod/cart-6cbfb749cf-mfk44                        Pod should schedule on: nodeclaim/stateless-spot-rgggn
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-dwcvr                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 6 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 6 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Normal    Nominated              pod/cart-6cbfb749cf-dwcvr                        Pod should schedule on: nodeclaim/stateless-on-demand-sxbhq
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-7xl4m                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 6 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-lprsl                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 6 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-npfkp                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 6 Preemption is not helpful for scheduling, 7 No preemption victims found for incoming pod.
15m         Normal    Pulling                pod/product-reviews-58686f5fd9-qs6jg             Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/product-reviews:sha-fa6cb8f"
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-lprsl                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 5 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 7 No preemption victims found for incoming pod, 7 Preemption is not helpful for scheduling.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-7xl4m                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 5 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 7 No preemption victims found for incoming pod, 7 Preemption is not helpful for scheduling.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 5 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 7 No preemption victims found for incoming pod, 7 Preemption is not helpful for scheduling.
15m         Normal    SuccessfulCreate       daemonset/otel-collector-agent                   Created pod: otel-collector-agent-2qtfd
15m         Normal    Scheduled              pod/cart-6cbfb749cf-lprsl                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-lprsl to ip-10-0-24-165.ec2.internal
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-npfkp                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 5 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 7 No preemption victims found for incoming pod, 7 Preemption is not helpful for scheduling.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-mfk44                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 5 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 7 No preemption victims found for incoming pod, 7 Preemption is not helpful for scheduling.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-npfkp                        0/14 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 6 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-dwcvr                        0/14 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 6 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-dwcvr                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 5 node(s) had untolerated taint(s), 6 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 7 No preemption victims found for incoming pod, 7 Preemption is not helpful for scheduling.
15m         Normal    Scheduled              pod/otel-collector-agent-2qtfd                   Successfully assigned techx-corp-prod/otel-collector-agent-2qtfd to ip-10-0-24-165.ec2.internal
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-mfk44                        0/14 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 6 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
15m         Normal    Pulling                pod/cart-6cbfb749cf-lprsl                        Pulling image "busybox:1.37.0"
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        0/14 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 6 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
15m         Normal    SuccessfulRescale      horizontalpodautoscaler/load-generator-worker    New size: 3; reason: All metrics below target
15m         Normal    Pulling                pod/otel-collector-agent-2qtfd                   Pulling image "otel/opentelemetry-collector-contrib:0.151.0"
15m         Normal    Scheduled              pod/cart-6cbfb749cf-npfkp                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-npfkp to ip-10-0-34-8.ec2.internal
15m         Normal    Killing                pod/load-generator-worker-cdc7df7c5-78d9m        Stopping container load-generator-worker
15m         Normal    SuccessfulDelete       replicaset/load-generator-worker-cdc7df7c5       Deleted pod: load-generator-worker-cdc7df7c5-78d9m
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-7xl4m                        0/14 nodes are available: 2 node(s) didn't match Pod's node affinity/selector, 4 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 6 Preemption is not helpful for scheduling, 8 No preemption victims found for incoming pod.
15m         Normal    ScalingReplicaSet      deployment/load-generator-worker                 Scaled down replica set load-generator-worker-cdc7df7c5 from 4 to 3
15m         Normal    Scheduled              pod/otel-collector-agent-vpwm5                   Successfully assigned techx-corp-prod/otel-collector-agent-vpwm5 to ip-10-0-34-8.ec2.internal
15m         Normal    Pulled                 pod/cart-6cbfb749cf-lprsl                        Successfully pulled image "busybox:1.37.0" in 555ms (555ms including waiting). Image size: 1911349 bytes.
15m         Normal    TaintManagerEviction   pod/cart-6cbfb749cf-lprsl                        Cancelling deletion of Pod techx-corp-prod/cart-6cbfb749cf-lprsl
15m         Normal    Started                pod/cart-6cbfb749cf-lprsl                        Container started
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-7xl4m                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 5 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
15m         Normal    Pulling                pod/otel-collector-agent-vpwm5                   Pulling image "otel/opentelemetry-collector-contrib:0.151.0"
15m         Normal    Created                pod/cart-6cbfb749cf-lprsl                        Container created
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-mfk44                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 5 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
15m         Normal    SuccessfulCreate       daemonset/otel-collector-agent                   Created pod: otel-collector-agent-vpwm5
15m         Normal    Pulling                pod/cart-6cbfb749cf-npfkp                        Pulling image "busybox:1.37.0"
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 5 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-dwcvr                        0/14 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 3 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/14 nodes are available: 5 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
15m         Normal    TaintManagerEviction   pod/cart-6cbfb749cf-npfkp                        Cancelling deletion of Pod techx-corp-prod/cart-6cbfb749cf-npfkp
15m         Normal    Created                pod/cart-6cbfb749cf-npfkp                        Container created
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-mfk44                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 4 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
15m         Normal    Pulled                 pod/cart-6cbfb749cf-npfkp                        Successfully pulled image "busybox:1.37.0" in 583ms (583ms including waiting). Image size: 1911349 bytes.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-dwcvr                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 4 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
15m         Normal    Started                pod/cart-6cbfb749cf-npfkp                        Container started
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 4 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-7xl4m                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 2 node(s) didn't match Pod's node affinity/selector, 2 node(s) had untolerated taint(s), 8 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 4 Preemption is not helpful for scheduling, 9 No preemption victims found for incoming pod.
15m         Normal    Scheduled              pod/otel-collector-agent-4slsx                   Successfully assigned techx-corp-prod/otel-collector-agent-4slsx to ip-10-0-45-80.ec2.internal
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-7xl4m                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 9 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 10 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
15m         Normal    Pulling                pod/cart-6cbfb749cf-mfk44                        Pulling image "busybox:1.37.0"
15m         Normal    Scheduled              pod/cart-6cbfb749cf-mfk44                        Successfully assigned techx-corp-prod/cart-6cbfb749cf-mfk44 to ip-10-0-45-80.ec2.internal
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-6pg6k                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 9 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 10 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
15m         Normal    SuccessfulCreate       daemonset/otel-collector-agent                   Created pod: otel-collector-agent-4slsx
15m         Normal    Pulling                pod/otel-collector-agent-4slsx                   Pulling image "otel/opentelemetry-collector-contrib:0.151.0"
15m         Normal    Pulling                pod/cart-6cbfb749cf-lprsl                        Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f"
15m         Normal    Started                pod/cart-6cbfb749cf-mfk44                        Container started
15m         Normal    Created                pod/cart-6cbfb749cf-mfk44                        Container created
15m         Normal    Pulled                 pod/cart-6cbfb749cf-mfk44                        Successfully pulled image "busybox:1.37.0" in 543ms (543ms including waiting). Image size: 1911349 bytes.
15m         Normal    Pulling                pod/cart-6cbfb749cf-npfkp                        Pulling image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f"
15m         Warning   FailedScheduling       pod/cart-6cbfb749cf-dwcvr                        0/13 nodes are available: 1 node(s) didn't satisfy existing pods anti-affinity rules, 1 node(s) had untolerated taint(s), 2 node(s) didn't match Pod's node affinity/selector, 9 node(s) didn't match pod topology spread constraints. no new claims to deallocate, preemption: 0/13 nodes are available: 10 No preemption victims found for incoming pod, 3 Preemption is not helpful for scheduling.
15m         Normal    TaintManagerEviction   pod/cart-6cbfb749cf-mfk44                        Cancelling deletion of Pod techx-corp-prod/cart-6cbfb749cf-mfk44
15m         Normal    Created                pod/cart-6cbfb749cf-lprsl                        Container created
15m         Normal    Pulled                 pod/cart-6cbfb749cf-lprsl                        Successfully pulled image "493499579600.dkr.ecr.us-east-1.amazonaws.com/techx-prod-corp/cart:sha-fa6cb8f" in 2.727s (2.728s including waiting). Image size: 50820594 bytes.
15m         Normal    Started                pod/cart-6cbfb749cf-lprsl                        Container started
